eval_idx,cluster,dp,mp,sp,pp,sharded,active-chunks-per-dimension,preferred-dataset-splits,collective-optimization,inter-node-bw,intra-node-bw,batch_size,exec_time,is_oom,objective_0,objective_1
133,cl2,1,1,32,1,True,2,1,baseline,200,900,8,1531.8915710449219,False,3.1852280265476467,4.468347330412158
134,cl2,1,1,32,1,True,2,1,baseline,200,900,16,2066.530268096924,False,3.3152417706974284,4.468347330412158
135,cl2,1,1,32,1,True,2,1,baseline,200,900,24,2808.7078720092773,False,3.4485065714650616,4.468347330412158
136,cl2,1,1,32,1,True,2,1,baseline,200,600,8,1567.1688537597656,False,3.1951157918134534,4.296665190261531
137,cl2,1,1,32,1,True,2,1,baseline,200,600,16,2121.5337226867673,False,3.3266499394542155,4.296665190261531
138,cl2,1,1,32,1,True,2,1,baseline,200,600,24,2870.299488830566,False,3.457927213654086,4.296665190261531
139,cl2,1,1,32,1,True,2,1,baseline,100,900,8,2606.9792335510256,False,3.4161375717168068,4.463892988985907
140,cl2,1,1,32,1,True,2,1,baseline,100,900,16,3229.1408363342284,False,3.5090869868285486,4.463892988985907
141,cl2,1,1,32,1,True,2,1,baseline,100,900,24,3865.229631042481,False,3.5871753002031634,4.463892988985907
142,cl2,1,1,32,1,True,2,1,baseline,100,600,8,2642.6803230285645,False,3.422044631031254,4.290034611362518
143,cl2,1,1,32,1,True,2,1,baseline,100,600,16,3284.1442909240723,False,3.5164222298650296,4.290034611362518
144,cl2,1,1,32,1,True,2,1,baseline,100,600,24,3939.9592575073243,False,3.5954917308785603,4.290034611362518
145,cl2,1,2,4,4,True,1,1,localBWAware,200,900,8,2991.3099266052245,False,3.4758614121758677,4.468347330412158
146,cl2,1,2,4,4,True,1,1,localBWAware,200,900,16,5969.600921630859,False,3.7759452987463327,4.468347330412158
147,cl2,1,2,4,4,True,1,1,localBWAware,200,900,24,8949.37009048462,False,3.9517924681813863,4.468347330412158
148,cl2,1,2,4,4,True,1,1,localBWAware,200,600,8,3006.375144195557,False,3.4780431721552874,4.296665190261531
149,cl2,1,2,4,4,True,1,1,localBWAware,200,600,16,5998.384973144531,False,3.778034335105919,4.296665190261531
150,cl2,1,2,4,4,True,1,1,localBWAware,200,600,24,8993.232424163818,False,3.953915817613107,4.296665190261531
151,cl2,1,2,4,4,True,1,1,localBWAware,100,900,8,2997.6505393981934,False,3.4767810022090155,4.463892988985907
152,cl2,1,2,4,4,True,1,1,localBWAware,100,900,16,5982.282147216797,False,3.776866892160643,4.463892988985907
153,cl2,1,2,4,4,True,1,1,localBWAware,100,900,24,8968.391928863526,False,3.9527145791613405,4.463892988985907
154,cl2,1,2,4,4,True,1,1,localBWAware,100,600,8,3012.7157569885253,False,3.4789581588905465,4.290034611362518
155,cl2,1,2,4,4,True,1,1,localBWAware,100,600,16,6011.066198730468,False,3.778951510797604,4.290034611362518
156,cl2,1,2,4,4,True,1,1,localBWAware,100,600,24,9012.254262542725,False,3.9548334359658566,4.290034611362518
157,cl2,1,2,4,4,True,1,1,baseline,200,900,8,2991.3099266052245,False,3.4758614121758677,4.468347330412158
158,cl2,1,2,4,4,True,1,1,baseline,200,900,16,5969.600921630859,False,3.7759452987463327,4.468347330412158
159,cl2,1,2,4,4,True,1,1,baseline,200,900,24,8949.37009048462,False,3.9517924681813863,4.468347330412158
160,cl2,1,2,4,4,True,1,1,baseline,200,600,8,3006.375144195557,False,3.4780431721552874,4.296665190261531
161,cl2,1,2,4,4,True,1,1,baseline,200,600,16,5998.384973144531,False,3.778034335105919,4.296665190261531
162,cl2,1,2,4,4,True,1,1,baseline,200,600,24,8993.232424163818,False,3.953915817613107,4.296665190261531
163,cl2,1,2,4,4,True,1,1,baseline,100,900,8,2997.6505393981934,False,3.4767810022090155,4.463892988985907
164,cl2,1,2,4,4,True,1,1,baseline,100,900,16,5982.282147216797,False,3.776866892160643,4.463892988985907
165,cl2,1,2,4,4,True,1,1,baseline,100,900,24,8968.391928863526,False,3.9527145791613405,4.463892988985907
166,cl2,1,2,4,4,True,1,1,baseline,100,600,8,3012.7157569885253,False,3.4789581588905465,4.290034611362518
167,cl2,1,2,4,4,True,1,1,baseline,100,600,16,6011.066198730468,False,3.778951510797604,4.290034611362518
168,cl2,1,2,4,4,True,1,1,baseline,100,600,24,9012.254262542725,False,3.9548334359658566,4.290034611362518
